20;6;4.8;301.520000;-;21;55;15;-21.920833;M75;M 75;;;;
1;42;18.1;25.575417;+;51;34;17;51.571389;M76;M 76;;;;
2;42;40.8;40.670000;-;0;0;46;-0.012778;M77;M 77;;;;
5;46;45.0;86.687500;+;0;4;48;0.080000;M78;M 78;;;;
5;24;10.6;81.044167;-;24;31;25;-24.523611;M79;M 79;;;;
16;17;2.5;244.260417;-;22;58;28;-22.974444;M80;M 80;;;;
9;55;33.5;148.889583;+;69;4;2;69.067222;M81;M 81;;;;
9;55;54.0;148.975000;+;69;40;59;69.683056;M82;M 82;;;;
13;37;0.2;204.250833;-;29;52;2;-29.867222;M83;M 83;;;;
12;25;3.6;186.265000;+;12;53;13;12.886944;M84;M 84;;;;
12;25;23.9;186.349583;+;18;11;27;18.190833;M85;M 85;;;;
12;26;11.5;186.547917;+;12;56;47;12.946389;M86;M 86;;;;
12;30;49.4;187.705833;+;12;23;26;12.390556;M87;M 87;;;;
12;31;59.0;187.995833;+;14;25;11;14.419722;M88;M 88;;;;
12;35;39.9;188.916250;+;12;33;22;12.556111;M89;M 89;;;;
12;36;50.0;189.208333;+;13;9;50;13.163889;M90;M 90;;;;
12;35;26.4;188.860000;+;14;29;47;14.496389;M91;M 91;;;;
17;17;7.3;259.280417;+;43;8;13;43.136944;M92;M 92;;;;
7;44;30.0;116.125000;-;23;51;24;-23.856667;M93;M 93;;;;
12;50;53.1;192.721250;+;41;7;17;41.121389;M94;M 94;;;;
10;43;57.8;160.990833;+;11;42;12;11.703333;M95;M 95;;;;
10;46;45.8;161.690833;+;11;49;12;11.820000;M96;M 96;;;;
11;14;47.7;168.698750;+;55;1;10;55.019444;M97;M 97;;;;
12;13;47.8;183.449167;+;14;53;58;14.899444;M98;M 98;;;;
12;18;49.3;184.705417;+;14;25;3;14.417500;M99;M 99;;;;
12;22;54.9;185.728750;+;15;49;22;15.822778;M100;M 100;;;;
14;3;12.4;210.801667;+;54;20;58;54.349444;M101;M 101;;;;
15;6;29.4;226.622500;+;55;45;49;55.763611;M102;M 102;;;;
1;33;23.0;23.345833;+;60;39;30;60.658333;M103;M 103;;;;
12;39;59.3;189.997083;-;11;37;21;-11.622500;M104;M 104;;;;
10;47;49.5;161.956250;+;12;34;52;12.581111;M105;M 105;;;;
12;18;57.8;184.740833;+;47;18;25;47.306944;M106;M 106;;;;
16;32;31.9;248.132917;-;13;3;11;-13.053056;M107;M 107;;;;
11;11;29.4;167.872500;+;55;40;22;55.672778;M108;M 108;;;;
11;57;35.4;179.397500;+;53;22;25;53.373611;M109;M 109;;;;
